Images space usage:

REPOSITORY                               TAG                                  IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
acbef32fdf62   build_env_python:3.10                          "python3"                0               50.7kB    5 weeks ago     Exited (255) 7 hours ago    beautiful_saha
50a9b9ee5a33   rtbench-instance-vllm-48:latest                "/opt/nvidia/nvidia_…"   0               0B        5 weeks ago     Removal In Progress         instance-48-rtbench-instance-vllm-48
a2ec390e955b   4d53be8ca28e                                   "/bin/sh -c 'pip ins…"   0               3.31MB    5 weeks ago     Exited (1) 5 weeks ago      mystifying_chaplygin
7363a7945e89   7d9053a69295                                   "/bin/sh -c 'pip ins…"   0               1.91MB    5 weeks ago     Exited (1) 5 weeks ago      laughing_cohen2
37ad69365d8b   rtbench-instance-vllm-47:latest                "/opt/nvidia/nvidia_…"   0               0B        5 weeks ago     Removal In Progress         instance-47-rtbench-instance-vllm-47
2018c983ad23   af5c34c1cd13                                   "/start.sh"              0               3.64GB    5 weeks ago     Exited (255) 7 hours ago    judge
06e4d5095dde   rtbench-instance-vllm-42:latest                "/opt/nvidia/nvidia_…"   0               0B        5 weeks ago     Removal In Progress         instance-42-rtbench-instance-vllm-42
b259b0d06588   rtbench-instance-vllm-37:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-37-rtbench-instance-vllm-37
5bb20c4d4180   rtbench-instance-vllm-35:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-35-rtbench-instance-vllm-35
58f69b201e94   rtbench-instance-vllm-31:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-31-rtbench-instance-vllm-31
83caa23b0524   rtbench-instance-vllm-32:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-32-rtbench-instance-vllm-32
4a5093f32869   rtbench-instance-vllm-24:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-24-rtbench-instance-vllm-24
634e17f5108e   rtbench-instance-vllm-23:latest                "/opt/nvidia/nvidia_…"   0               0B        6 weeks ago     Removal In Progress         instance-23-rtbench-instance-vllm-23
2a05ac51ece8   279428bbb508                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    funny_perlman
6567c421fdd2   e5529d4c936c                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    nostalgic_lovelace
070982d153ff   5ae684e33a9d                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    agitated_napier
9b36a53b6af7   9a9500033590                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    nifty_black
3134354aec09   aeec1fe9fff1                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    kind_poitras
2faf0c8743e3   c955e73256dc                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    peaceful_neumann
647603edba14   49eeeb7ad99f                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    kind_albattani
0d5a5acb37c0   7518181fd7d6                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    practical_easley
2f2a2be851d2   4457af4a9a6a                                   "/bin/sh -c 'env -u …"   0               727MB     6 weeks ago     Exited (1) 6 weeks ago      bold_matsumoto
f2f315bda08e   4457af4a9a6a                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    distracted_mayer
3dbd2efe5829   9c36ee32ed11                                   "/bin/sh -c '/bin/ba…"   0               569MB     6 weeks ago     Exited (100) 6 weeks ago    vigilant_lumiere
28f60873c165   07fb544007b0                                   "/bin/sh -c '/bin/ba…"   0               0B        6 weeks ago     Exited (128) 6 weeks ago    ecstatic_jepsen
f17fb194b493   ghcr.io/ding113/claude-code-hub:latest         "docker-entrypoint.s…"   0               6.19kB    6 weeks ago     Up 7 hours (healthy)        saladday-cch-app-1
4f466e03789a   postgres:18                                    "docker-entrypoint.s…"   1               51B       6 weeks ago     Up 7 hours (healthy)        saladday-cch-postgres-1
8f938b2963f8   redis:7-alpine                                 "docker-entrypoint.s…"   0               0B        6 weeks ago     Up 7 hours (healthy)        saladday-cch-redis-1
576179e66109   d972794f2383                                   "tail -f /dev/null"      0               8.14MB    6 weeks ago     Exited (137) 6 weeks ago    sweb.eval.astropy__astropy-14539.icore
c5509c3be7bd   f4db5076316c                                   "/bin/sh -c '/bin/ba…"   0               0B        6 weeks ago     Exited (128) 6 weeks ago    naughty_bhabha
10027f98f735   3970995960fd                                   "/bin/sh -c '/bin/ba…"   0               0B        6 weeks ago     Exited (128) 6 weeks ago    eager_shtern
993d71954374   577aea7d0d10                                   "/bin/sh -c '/bin/ba…"   0               0B        6 weeks ago     Exited (128) 6 weeks ago    happy_kepler
a5bd5c7b1645   sweb.eval.x86_64.django__django-12708:latest   "tail -f /dev/null"      0               9.18MB    6 weeks ago     Exited (137) 6 weeks ago    sweb.eval.django__django-12708.validate-gold
a9161152b09e   c89661a86c1c                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      silly_gould
d9f1fb309376   c89661a86c1c                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      confident_agnesi
09fc4590354a   c89661a86c1c                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      focused_beaver
0e2699859db9   c89661a86c1c                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      hungry_mendel
5603008ea65d   2d1325d6ab2e                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      charming_ishizaka
c51a3ccfcdec   2d1325d6ab2e                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      confident_spence
4cf0f26ae521   2d1325d6ab2e                                   "/bin/sh -c 'cd {rep…"   0               0B        7 weeks ago     Exited (2) 7 weeks ago      vigilant_poitras
bb3076f43f58   533ce781f7ca                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      competent_hertz
ba6b5bbdcbcf   533ce781f7ca                                   "/bin/sh -c 'cd vllm…"   0               43.5MB    7 weeks ago     Exited (1) 7 weeks ago      infallible_bhabha
a2488978489c   9e2249ced33a                                   "/bin/sh -c '/opt/mi…"   0               0B        7 weeks ago     Exited (1) 7 weeks ago      amazing_raman
568e97db5e08   613e5697a6dd                                   "/bin/sh -c '/opt/mi…"   0               0B        7 weeks ago     Exited (1) 7 weeks ago      trusting_euler
2e0f6b820227   613e5697a6dd                                   "/bin/sh -c '/opt/mi…"   0               0B        7 weeks ago     Exited (1) 7 weeks ago      awesome_hypatia
83f2aa2b0dc9   613e5697a6dd                                   "/bin/sh -c '/opt/mi…"   0               0B        7 weeks ago     Exited (1) 7 weeks ago      upbeat_pasteur
7a96a22c1b03   quay.io/prometheus/node-exporter:latest        "/bin/node_exporter …"   0               0B        7 weeks ago     Up 7 hours                  node-exporter
4b6eebd61499   nvcr.io/nvidia/k8s/dcgm-exporter:latest        "/usr/local/dcgm/dcg…"   0               501MB     7 weeks ago     Up 7 hours                  dcgm-exporter
37ae4d29a917   29b2299f4f14                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      beautiful_bell
e8572a2a0444   8a1491aa8d6f                                   "/bin/sh -c 'pip ins…"   0               11MB      7 weeks ago     Exited (1) 7 weeks ago      eager_mendeleev
42ceffd517c0   77676af25e57                                   "/bin/sh -c 'pip ins…"   0               415kB     7 weeks ago     Exited (1) 7 weeks ago      serene_goodall
6565c4dd9455   59406911bf41                                   "/bin/sh -c 'pip ins…"   0               1.54MB    7 weeks ago     Exited (1) 7 weeks ago      festive_borg
f16edc91f2a9   ee0c9f55b7fb                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      angry_booth
066fd8732faa   6e419084e88e                                   "/bin/sh -c 'pip ins…"   0               38.4kB    7 weeks ago     Exited (1) 7 weeks ago      clever_banzai
3aa7e757f4ca   7b381b38868c                                   "/bin/sh -c 'pip ins…"   0               12.9MB    7 weeks ago     Exited (1) 7 weeks ago      silly_moser
726d6ac5e74c   20afcc6411db                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      charming_allen
9af95cd9f1b7   44524dcb6a30                                   "/bin/sh -c 'pip ins…"   0               1.54MB    7 weeks ago     Exited (1) 7 weeks ago      practical_euclid
dda9ee77de8a   fd62019c7584                                   "/bin/sh -c 'pip ins…"   0               1.62MB    7 weeks ago     Exited (1) 7 weeks ago      intelligent_hermann
1eeb3ab42bee   ce87f3cbcf78                                   "/bin/sh -c 'pip ins…"   0               415kB     7 weeks ago     Exited (1) 7 weeks ago      naughty_rubin
b7a4b01e283a   758d0faf35e2                                   "/bin/sh -c 'pip ins…"   0               1.53MB    7 weeks ago     Exited (1) 7 weeks ago      cool_jepsen
848298a3600e   95e2b91c8f90                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      strange_hamilton
91754f82a527   f211f62ed898                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      cool_neumann
d6a9e90cdbeb   fc9b3ebf0664                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      happy_heyrovsky
63077de14d28   12eb3ca8b38d                                   "/bin/sh -c 'pip ins…"   0               1.54MB    7 weeks ago     Exited (1) 7 weeks ago      brave_stonebraker
0d78d4f95b33   77b0044576e0                                   "/bin/sh -c 'poetry …"   0               363MB     7 weeks ago     Exited (1) 7 weeks ago      hungry_babbage
89b0438dcec7   d9de7110e62c                                   "/bin/sh -c 'poetry …"   0               0B        7 weeks ago     Exited (1) 7 weeks ago      bold_shannon
38c72c828951   299402521661                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      objective_morse
078340f14e68   a57bc4927301                                   "/bin/sh -c 'pip ins…"   0               415kB     7 weeks ago     Exited (1) 7 weeks ago      dreamy_hypatia
697e9c355c53   f5d40baeced3                                   "/bin/sh -c 'pip ins…"   0               3.43MB    7 weeks ago     Exited (1) 7 weeks ago      exciting_carson8
14f9d1575b6c   48c507d57606                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      infallible_mcclintock
b025deab642c   99292e840481                                   "/bin/sh -c 'pip ins…"   0               10MB      7 weeks ago     Exited (1) 7 weeks ago      thirsty_germain
77487ca7ad05   5c3fb495ddab                                   "/bin/sh -c 'pip ins…"   0               2.43MB    7 weeks ago     Exited (1) 7 weeks ago      keen_mendel
14bcb47fe9d6   f1b16f8a3cdc                                   "/bin/sh -c 'pip ins…"   0               424kB     7 weeks ago     Exited (1) 7 weeks ago      inspiring_hypatia
19aca85054f2   c8a36d73cbdb                                   "/bin/sh -c 'pip ins…"   0               1.44MB    7 weeks ago     Exited (1) 7 weeks ago      sleepy_sammet
edf043f3bee7   995e86bf18c3                                   "docker-entrypoint.s…"   0               7.23kB    7 weeks ago     Up 7 hours (unhealthy)      claude-code-hub-app
3503dc73fbb4   postgres:18                                    "docker-entrypoint.s…"   1               51B       7 weeks ago     Up 7 hours (healthy)        claude-code-hub-db
6c856a17d54a   redis:7-alpine                                 "docker-entrypoint.s…"   0               0B        7 weeks ago     Up 7 hours (healthy)        claude-code-hub-redis
902fd219bf7e   29b2299f4f14                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      tender_gould6
f646b9002073   77676af25e57                                   "/bin/sh -c 'pip ins…"   0               415kB     8 weeks ago     Exited (1) 8 weeks ago      magical_rhodes
3fb4a140d180   6e419084e88e                                   "/bin/sh -c 'pip ins…"   0               38.4kB    8 weeks ago     Exited (1) 8 weeks ago      epic_goodall
a2ee5b9dbc06   44524dcb6a30                                   "/bin/sh -c 'pip ins…"   0               1.54MB    8 weeks ago     Exited (1) 8 weeks ago      cool_hawking
3d9e8d9b056c   f211f62ed898                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      adoring_gould
e2dbd71690f7   77b0044576e0                                   "/bin/sh -c 'poetry …"   0               363MB     8 weeks ago     Exited (1) 8 weeks ago      nostalgic_engelbart
edb7bdcf09f6   a57bc4927301                                   "/bin/sh -c 'pip ins…"   0               415kB     8 weeks ago     Exited (1) 8 weeks ago      optimistic_ellis
a0f9da30b06a   299402521661                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      affectionate_grothendieck
0501279f5334   f5d40baeced3                                   "/bin/sh -c 'pip ins…"   0               3.43MB    8 weeks ago     Exited (1) 8 weeks ago      trusting_lederberg
9994d8127dea   99292e840481                                   "/bin/sh -c 'pip ins…"   0               10MB      8 weeks ago     Exited (1) 8 weeks ago      gifted_boyd
94ab91d60809   48c507d57606                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      gallant_hypatia
3fdb09721561   5c3fb495ddab                                   "/bin/sh -c 'pip ins…"   0               2.43MB    8 weeks ago     Exited (1) 8 weeks ago      hardcore_jones
af994928ca8f   f1b16f8a3cdc                                   "/bin/sh -c 'pip ins…"   0               424kB     8 weeks ago     Exited (1) 8 weeks ago      awesome_morse
d82cf4773a7a   c8a36d73cbdb                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      inspiring_gagarin
cd06a0cf82ec   299402521661                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      brave_jennings
e6cae27a1892   a57bc4927301                                   "/bin/sh -c 'pip ins…"   0               415kB     8 weeks ago     Exited (1) 8 weeks ago      optimistic_bell
970b73b6f330   f5d40baeced3                                   "/bin/sh -c 'pip ins…"   0               3.43MB    8 weeks ago     Exited (1) 8 weeks ago      heuristic_jones
128a84e990a7   48c507d57606                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      kind_keldysh
ce5cd398994b   99292e840481                                   "/bin/sh -c 'pip ins…"   0               10MB      8 weeks ago     Exited (1) 8 weeks ago      mystifying_kalam
729932ab68d9   5c3fb495ddab                                   "/bin/sh -c 'pip ins…"   0               2.43MB    8 weeks ago     Exited (1) 8 weeks ago      pedantic_hypatia
c08118f920aa   f1b16f8a3cdc                                   "/bin/sh -c 'pip ins…"   0               424kB     8 weeks ago     Exited (1) 8 weeks ago      recursing_driscoll
f9f814ca68fb   c8a36d73cbdb                                   "/bin/sh -c 'pip ins…"   0               1.44MB    8 weeks ago     Exited (1) 8 weeks ago      jovial_perlman
6c2c25496059   eaaab090dd3f                                   "/bin/sh -c 'pip ins…"   0               423kB     2 months ago    Exited (1) 2 months ago     objective_buck
843e0878499d   c6b8140bc015                                   "/bin/sh -c 'pip ins…"   0               1.44MB    2 months ago    Exited (1) 2 months ago     sweet_aryabhata
6a69d82ed1b7   80b52c283b60                                   "/bin/sh -c 'pip ins…"   0               1.45MB    2 months ago    Exited (1) 2 months ago     funny_elgamal
da67a8e167ba   152772432cbf                                   "/bin/sh -c 'pip ins…"   0               1.44MB    2 months ago    Exited (1) 2 months ago     lucid_cerf
0c21980fa634   3025797d22b1                                   "/bin/sh -c 'pip ins…"   0               1.54MB    2 months ago    Exited (1) 2 months ago     quirky_tereshkova
8c15c8d62f53   30f28a42ad31                                   "/bin/sh -c 'pip ins…"   0               851kB     2 months ago    Exited (1) 2 months ago     elastic_mendel
160eb25b73af   c0fdde72173f                                   "/bin/sh -c 'pip ins…"   0               423kB     2 months ago    Exited (1) 2 months ago     sharp_johnson
39f6da5e4a66   qmcgaw/latexdevcontainer:latest-full           "/bin/zsh -lc 'sleep…"   0               225MB     2 months ago    Exited (255) 2 months ago   latex-watcher
993cf6b10904   81ea8a70f1bd                                   "/bin/sh -c 'apt-get…"   0               0B        2 months ago    Exited (100) 2 months ago   suspicious_clarke
9e2270df439d   41a30ff01a34                                   "/bin/bash"              0               1.12GB    2 months ago    Exited (0) 2 months ago     practical_pare
72fe06bd9f76   41a30ff01a34                                   "-it"                    0               0B        2 months ago    Created                     youthful_robinson
86ce6f9d702f   41a30ff01a34                                   "-it /bin/bash"          0               0B        2 months ago    Created                     modest_bhaskara
8a6e2dc67139   test/numpy__numpy-3563c62:latest               "tail -f /dev/null"      0               3.34MB    2 months ago    Exited (137) 2 months ago   lucid_jackson
7015d3956cb8   test/astropy__astropy-22d862f:latest           "tail -f /dev/null"      0               34.1MB    2 months ago    Exited (137) 2 months ago   elastic_wozniak
455d3ade2b86   test/astropy__astropy-cee2cb3:latest           "tail -f /dev/null"      0               34.8MB    2 months ago    Exited (137) 2 months ago   wizardly_ganguly
bd2da225bfcb   test/astropy__astropy-da39273:latest           "tail -f /dev/null"      0               101MB     2 months ago    Exited (137) 2 months ago   bold_gauss
5971b8bf67b0   c6b8140bc015                                   "/bin/sh -c 'pip ins…"   0               1.44MB    2 months ago    Exited (1) 2 months ago     angry_chaplygin
3148fb37a7db   80b52c283b60                                   "/bin/sh -c 'pip ins…"   0               1.45MB    2 months ago    Exited (1) 2 months ago     stoic_davinci
95f9c23ad6ad   152772432cbf                                   "/bin/sh -c 'pip ins…"   0               1.44MB    2 months ago    Exited (1) 2 months ago     upbeat_grothendieck
ff3812f1d890   3025797d22b1                                   "/bin/sh -c 'pip ins…"   0               1.54MB    2 months ago    Exited (1) 2 months ago     sad_margulis
9df97f524b0c   30f28a42ad31                                   "/bin/sh -c 'pip ins…"   0               833kB     2 months ago    Exited (1) 2 months ago     relaxed_villani
5036fadb0ed4   c0fdde72173f                                   "/bin/sh -c 'pip ins…"   0               406kB     2 months ago    Exited (1) 2 months ago     interesting_wing
9e28456d51c8   4cb567b05549                                   "/bin/sh -c 'conda c…"   0               6.3kB     2 months ago    Exited (1) 2 months ago     elegant_meitner
f2b297f9e22f   9805a6ab12c8                                   "/bin/sh -c 'conda c…"   0               6.3kB     2 months ago    Exited (1) 2 months ago     happy_rosalind
7627901a3f8b   43c5d3218930                                   "/bin/sh -c 'conda c…"   0               6.3kB     2 months ago    Exited (1) 2 months ago     funny_bassi
7816c8e5867b   837eeea9a412                                   "/bin/sh -c 'conda c…"   0               6.3kB     2 months ago    Exited (1) 2 months ago     cool_cray
ea0abef16a83   5c46b1edfdd8                                   "/bin/sh -c 'curl -f…"   0               0B        2 months ago    Exited (7) 2 months ago     competent_elbakyan
660821f5742a   5c46b1edfdd8                                   "/bin/sh -c 'curl -f…"   0               0B        2 months ago    Exited (7) 2 months ago     pensive_saha
ca4575974615   5c46b1edfdd8                                   "/bin/sh -c 'curl -f…"   0               0B        2 months ago    Exited (7) 2 months ago     inspiring_jones
0532679eb5df   5651e7ff2214                                   "/bin/zsh sleep infi…"   0               0B        2 months ago    Up About an hour            latexdev
f6ab893dda04   test/pytest-dev__pytest-6a7df7f:latest         "tail -f /dev/null"      0               977kB     2 months ago    Exited (137) 2 months ago   wonderful_swirles
18eb4cc4060f   test/pytest-dev__pytest-6a7df7f:latest         "tail -f /dev/null"      0               884kB     2 months ago    Exited (137) 2 months ago   affectionate_goldwasser
40b03d8726f8   test/astropy__astropy-cee2cb3:latest           "tail -f /dev/null"      0               17.5MB    2 months ago    Exited (137) 2 months ago   quizzical_satoshi
2a2290c0c920   41a30ff01a34                                   "tail -f /dev/null"      0               32.7MB    2 months ago    Exited (137) 2 months ago   compassionate_colden
b97bc6e7bc4f   76a1894f4c38                                   "/bin/sh -c '/bin/ba…"   0               503MB     2 months ago    Exited (1) 2 months ago     lucid_herschel
478e0b5badd7   597ad143ec0c                                   "/bin/sh -c '/bin/ba…"   0               1.93GB    2 months ago    Exited (1) 2 months ago     friendly_aryabhata
f9f6e2b8546b   37df3639c06e                                   "/bin/sh -c '/bin/ba…"   0               1.93GB    2 months ago    Exited (1) 2 months ago     relaxed_cartwright
6a2140165714   c1cd988fcd88                                   "/bin/sh -c '/bin/ba…"   0               1.54GB    2 months ago    Exited (1) 2 months ago     happy_antonelli
a296de45cc77   e8237bc82eb3                                   "/bin/sh -c '/bin/ba…"   0               1.54GB    2 months ago    Exited (1) 2 months ago     exciting_perlman
c7c1d2d3d0b3   0dce98fa7df3                                   "/bin/sh -c '/bin/ba…"   0               2.06GB    2 months ago    Exited (1) 2 months ago     peaceful_volhard3
53c2adf5a035   2da32353f9d7                                   "/bin/sh -c 'unset h…"   0               376MB     3 months ago    Exited (1) 3 months ago     keen_blackwell
9007ad8b333b   2eeff360fd05                                   "/bin/sh -c 'unset h…"   0               16.7MB    3 months ago    Exited (1) 3 months ago     dazzling_kirch
12de08442d09   2eeff360fd05                                   "/bin/sh -c 'pip ins…"   0               3.94kB    3 months ago    Exited (1) 3 months ago     hopeful_poitras
389662a02705   7687dd13da73                                   "/bin/sh -c 'apt-get…"   0               0B        3 months ago    Exited (100) 3 months ago   mystifying_kowalevski
a8501b7a1a27   2da32353f9d7                                   "/bin/sh -c 'unset h…"   0               4.62MB    3 months ago    Exited (1) 3 months ago     gifted_curie
fae918dba4f8   39c4a1e27bbf                                   "/bin/sh -c 'unset h…"   0               3.91MB    3 months ago    Exited (1) 3 months ago     priceless_ramanujan
99ce70fe6a9b   4b2f0123e490                                   "/bin/sh -c 'unset h…"   0               44B       3 months ago    Exited (2) 3 months ago     distracted_mahavira
613ef98a26d6   2d63cedc9340                                   "/bin/sh -c 'unset h…"   0               1B        3 months ago    Exited (1) 3 months ago     dazzling_bardeen
9feae0682e7b   2d63cedc9340                                   "/bin/sh -c 'uv pyth…"   0               1B        3 months ago    Exited (1) 3 months ago     suspicious_johnson
1146bfdc9762   5d2f386baffb                                   "/bin/sh -c 'apt-get…"   0               0B        3 months ago    Exited (100) 3 months ago   strange_lamarr
d9c4b6527910   60dea6cbc4c8                                   "afl-temp"               0               0B        3 months ago    Created                     jovial_merkle
b00a9faff3be   371c7aa58151                                   "tail -f /dev/null"      0               775kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.337ccea48fdffa4d563645.140125188733680
427c625f4d5b   2404daff9837                                   "tail -f /dev/null"      0               775kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.8a8e31e1e928c57d3af0a8.140125188731616
5a8d56c08a08   b89c971d8080                                   "tail -f /dev/null"      0               775kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.494a50148634ef02cc5b89.140125188732864
1990712ef924   ef22db63187b                                   "tail -f /dev/null"      0               775kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.e6ba61833b7289b8507a96.140125188732720
d46764c0a800   243a79faeb6a                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.131be5d8942e4b965c39a9.140125188731040
8c31e0c2c27b   7f6a102005d0                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.4d54a53991450076a1cc2d.140125188734496
94db84fa768c   b34a8162eb12                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.30551ab55c07935b6438cd.140125188734352
9df9d809353b   36fc70c0afe7                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.e82c5018e95ecf046149b3.140125188732960
adacfdbdc6e2   d25814c6f2c5                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.9abfb63cef178bd684a2ce.140125188732576
be8569cefaa2   92f869f94e18                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.6be61ae17ef391f3dccc3c.140125188732912
1415d303412f   d76b11b45a01                                   "tail -f /dev/null"      0               782kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.8d48ddaf97462eaa0fa9d9.51a821b94e564ac26ff4a8.140125188734400
0876f87ea044   19f254b124d5                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.1433c4cba946482bd48c74.140125188731328
e2e957afe34f   f2a509d0603d                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.c70dd22ef4e1c836095a8a.140125188733584
d817946e2eac   2f7a9cb4f4a2                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.8485a6809a4d09f889d542.140125188733440
7881ad5a74e4   49221fdf8798                                   "tail -f /dev/null"      0               773kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.51a859f81f8e44cccb6aa1.140125215217744
7937068755d5   02cb96fb5099                                   "tail -f /dev/null"      0               774kB     3 months ago    Exited (137) 3 months ago   exec.eval.x86_64.ee2ad6945f237e9160354f.795654536f84862ec021bf.140125188731520
5222c8770d68   068e3ad4325d                                   "/opt/nvidia/nvidia_…"   0               44.7kB    3 months ago    Exited (0) 3 months ago     torch1
ea33d0f0734e   zyk_method:v2                                  "/bin/bash"              0               7.45TB    4 months ago    Exited (0) 4 months ago     zyk_method
25e6f9171954   dataset_re:v2                                  "/bin/bash"              0               2.18TB    5 months ago    Up 7 hours                  dataset_re2
a6ddfb54de3e   6013ae1a63c2                                   "/bin/bash"              0               63.6MB    12 months ago   Up 7 hours                  zzy
6a6f2f5a280b   158610ca7bb1                                   "/bin/bash"              0               10.2GB    13 months ago   Up 7 hours                  kerui

Local Volumes space usage:

VOLUME NAME                                                        LINKS     SIZE
d8349dbfaabb4d929e9bd6a9f331e8341a40b30cd569bf1925b86e089284cbf3   1         0B
f296f74823c3122f538bedcb2fd00a23d98498c484174fb3dde7180a1f4d4fff   0         47.02MB
165164e65135de12b923d81d90bc754fda168fd3e5bdf7f452289d8553e73dbe   0         119.6MB
40e908f135ef69c17a4d9b2267a0efa48d3f94ca25ce2911d2a4a339cbf7a173   0         195.6MB
5bcdfbe21869529437c30fecbf2535551a16a885568d141b8d894d34d09efc9d   0         213.9MB
7c2835cebf0824e9da008e0cc7e3a989e5a3cbea6e30101e63d7c222d52d8c50   0         195.7MB
026e286edd46339a0ee5e085d091971ef44164db9b2615c931277aaab60e26f5   0         285.8MB
89176bf8e85b352da32b37b5258da0ea7d1b3a65815a9e4148d21a31c55202a1   0         207.2MB
a0ca3c9fdb2c24ad2822e18f0bf8292742c9f623016608c8fa2370239f030ab6   0         0B
c9b5a18381dceb7963a6bbfa2683abb377e06b7cc78517635befdf317631b5b6   0         0B
657a81a531ceb72e8c7024ae84bef970a755af66bb1e5cf9323c360555260812   0         402.6MB
81d91f4a9739050ca15343b319d370f6a7e18dd3f0f8f5329c3b0000c40a98ce   0         0B
89db99c488f9880e527cdaf66d9d6b88a2908d6cc6d711e74a5d74a459361f47   0         303.3MB
